Date,Store ID,Product ID,Units Sold,Units Ordered
2022-01-01,S004,P0003,344,27
2022-01-01,S004,P0004,0,160
2022-01-01,S004,P0005,200,172
2022-01-01,S004,P0006,382,195
2022-01-01,S004,P0007,190,139
2022-01-01,S004,P0008,51,137
2022-01-01,S004,P0009,40,73
2022-01-01,S004,P0010,104,96
2022-01-01,S004,P0011,46,27
2022-01-01,S004,P0012,9,165
2022-01-01,S004,P0013,56,65
2022-01-01,S004,P0014,63,139
2022-01-01,S004,P0015,181,127
2022-01-01,S004,P0016,94,24
2022-01-01,S004,P0017,46,75
2022-01-01,S004,P0018,8,27
2022-01-01,S004,P0019,172,125
2022-01-01,S004,P0020,68,37
2022-01-01,S005,P0001,77,60
2022-01-01,S005,P0002,298,107
2022-01-01,S005,P0003,64,26
2022-01-01,S005,P0004,300,174
2022-01-01,S005,P0005,21,47
2022-01-01,S005,P0006,176,163
2022-01-01,S005,P0007,131,140
2022-01-01,S005,P0008,317,197
2022-01-01,S005,P0009,97,27
2022-01-01,S005,P0010,8,141
2022-01-01,S005,P0011,104,128
2022-01-01,S005,P0012,87,188
2022-01-01,S005,P0013,238,95
2022-01-01,S005,P0014,171,43
2022-01-01,S005,P0015,250,119
2022-01-01,S005,P0016,11,32
2022-01-01,S005,P0017,371,98
2022-01-01,S005,P0018,107,66
2022-01-01,S005,P0019,106,124
2022-01-01,S005,P0020,101,52
2022-01-02,S001,P0001,81,104
2022-01-02,S001,P0002,163,79
2022-01-02,S001,P0003,464,163
2022-01-02,S001,P0004,116,107
2022-01-02,S001,P0005,200,40
2022-01-02,S001,P0006,58,32
2022-01-02,S001,P0007,56,149
2022-01-02,S001,P0008,74,121
2022-01-02,S001,P0009,54,182
2022-01-02,S001,P0010,39,163
2022-01-02,S001,P0011,12,173
2022-01-02,S001,P0012,56,187
2022-01-02,S001,P0013,31,124
2022-01-02,S001,P0014,25,20
2022-01-02,S001,P0015,198,67
2022-01-02,S001,P0016,77,147
2022-01-02,S001,P0017,165,105
2022-01-02,S001,P0018,42,168
2022-01-02,S001,P0019,8,67
2022-01-02,S001,P0020,174,168
2022-01-02,S002,P0001,343,141
2022-01-02,S002,P0002,71,60
2022-01-02,S002,P0003,157,31
2022-01-02,S002,P0004,88,109
2022-01-02,S002,P0005,64,128
2022-01-02,S002,P0006,273,154
2022-01-02,S002,P0007,247,148
2022-01-02,S002,P0008,42,187
2022-01-02,S002,P0009,197,157
2022-01-02,S002,P0010,374,65
2022-01-02,S002,P0011,154,22
2022-01-02,S002,P0012,236,30
2022-01-02,S002,P0013,278,92
2022-01-02,S002,P0014,27,134
2022-01-02,S002,P0015,106,191
2022-01-02,S002,P0016,154,70
2022-01-02,S002,P0017,176,38
2022-01-02,S002,P0018,124,46
2022-01-02,S002,P0019,479,132
2022-01-02,S002,P0020,78,42
2022-01-02,S003,P0001,114,40
2022-01-02,S003,P0002,2,140
2022-01-02,S003,P0003,7,187
2022-01-02,S003,P0004,54,154
2022-01-02,S003,P0005,282,61
2022-01-02,S003,P0006,93,33
2022-01-02,S003,P0007,85,40
2022-01-02,S003,P0008,136,50
2022-01-02,S003,P0009,140,196
2022-01-02,S003,P0010,79,155
2022-01-02,S003,P0011,106,111
2022-01-02,S003,P0012,1,142
2022-01-02,S003,P0013,203,53
2022-01-02,S003,P0014,368,71
2022-01-02,S003,P0015,286,159
2022-01-02,S003,P0016,69,173
2022-01-02,S003,P0017,52,78
2022-01-02,S003,P0018,109,83
2022-01-02,S003,P0019,50,135
2022-01-02,S003,P0020,0,92
2022-01-02,S004,P0001,22,45
2022-01-02,S004,P0002,45,156
2022-01-02,S004,P0003,89,122
2022-01-02,S004,P0004,209,128
2022-01-02,S004,P0005,4,76
2022-01-02,S004,P0006,47,138
2022-01-02,S004,P0007,115,95
2022-01-02,S004,P0008,27,119
2022-01-02,S004,P0009,90,28
2022-01-02,S004,P0010,206,67
2022-01-02,S004,P0011,328,144
2022-01-02,S004,P0012,155,24
2022-01-02,S004,P0013,184,161
2022-01-02,S004,P0014,16,166
2022-01-02,S004,P0015,90,79
2022-01-02,S004,P0016,178,111
2022-01-02,S004,P0017,256,150
2022-01-02,S004,P0018,27,62
2022-01-02,S004,P0019,67,83
2022-01-02,S004,P0020,84,112
2022-01-02,S005,P0001,67,53
2022-01-02,S005,P0002,15,114
2022-01-02,S005,P0003,333,35
2022-01-02,S005,P0004,56,38
2022-01-02,S005,P0005,165,194
2022-01-02,S005,P0006,54,175
2022-01-02,S005,P0007,93,148
2022-01-02,S005,P0008,250,57
2022-01-02,S005,P0009,90,76
2022-01-02,S005,P0010,83,77
2022-01-02,S005,P0011,16,149
2022-01-02,S005,P0012,87,121
2022-01-02,S005,P0013,241,136
2022-01-02,S005,P0014,286,116
2022-01-02,S005,P0015,60,83
2022-01-02,S005,P0016,437,106
2022-01-02,S005,P0017,377,76
2022-01-02,S005,P0018,83,113
2022-01-02,S005,P0019,203,152
2022-01-02,S005,P0020,183,189
2022-01-03,S001,P0001,5,189
2022-01-03,S001,P0002,199,70
2022-01-03,S001,P0003,176,124
2022-01-03,S001,P0004,214,51
2022-01-03,S001,P0005,165,56
2022-01-03,S001,P0006,9,40
2022-01-03,S001,P0007,140,70
2022-01-03,S001,P0008,177,150
2022-01-03,S001,P0009,217,55
2022-01-03,S001,P0010,47,155
2022-01-03,S001,P0011,3,98
2022-01-03,S001,P0012,2,62
2022-01-03,S001,P0013,18,120
2022-01-03,S001,P0014,242,145
2022-01-03,S001,P0015,228,157
2022-01-03,S001,P0016,31,160
2022-01-03,S001,P0017,16,197
2022-01-03,S001,P0018,20,147
2022-01-03,S001,P0019,193,171
2022-01-03,S001,P0020,118,162
2022-01-03,S002,P0001,96,171
2022-01-03,S002,P0002,48,47
2022-01-03,S002,P0003,130,166
2022-01-03,S002,P0004,11,48
2022-01-03,S002,P0005,313,194
2022-01-03,S002,P0006,352,199
2022-01-03,S002,P0007,265,108
2022-01-03,S002,P0008,11,137
2022-01-03,S002,P0009,191,29
2022-01-03,S002,P0010,185,150
2022-01-03,S002,P0011,143,66
2022-01-03,S002,P0012,85,84
2022-01-03,S002,P0013,270,164
2022-01-03,S002,P0014,233,143
2022-01-03,S002,P0015,187,57
2022-01-03,S002,P0016,39,147
2022-01-03,S002,P0017,234,195
2022-01-03,S002,P0018,213,106
2022-01-03,S002,P0019,55,163
2022-01-03,S002,P0020,22,178
2022-01-03,S003,P0001,100,185
2022-01-03,S003,P0002,353,74
2022-01-03,S003,P0003,255,118
2022-01-03,S003,P0004,154,189
2022-01-03,S003,P0005,147,29
2022-01-03,S003,P0006,342,112
2022-01-03,S003,P0007,54,126
2022-01-03,S003,P0008,289,112
2022-01-03,S003,P0009,179,135
2022-01-03,S003,P0010,175,75
2022-01-03,S003,P0011,209,86
2022-01-03,S003,P0012,109,46
2022-01-03,S003,P0013,43,78
2022-01-03,S003,P0014,58,38
2022-01-03,S003,P0015,399,86
2022-01-03,S003,P0016,95,145
2022-01-03,S003,P0017,296,138
2022-01-03,S003,P0018,105,66
2022-01-03,S003,P0019,103,47
2022-01-03,S003,P0020,131,103
2022-01-03,S004,P0001,66,140
2022-01-03,S004,P0002,163,161
2022-01-03,S004,P0003,98,176
2022-01-03,S004,P0004,150,20
2022-01-03,S004,P0005,15,60
2022-01-03,S004,P0006,36,75
2022-01-03,S004,P0007,303,153
2022-01-03,S004,P0008,209,35
2022-01-03,S004,P0009,69,65
2022-01-03,S004,P0010,143,183
2022-01-03,S004,P0011,239,44
2022-01-03,S004,P0012,192,115
2022-01-03,S004,P0013,23,92
2022-01-03,S004,P0014,165,34
2022-01-03,S004,P0015,85,73
2022-01-03,S004,P0016,79,130
2022-01-03,S004,P0017,33,29
2022-01-03,S004,P0018,270,108
2022-01-03,S004,P0019,1,47
2022-01-03,S004,P0020,149,134
2022-01-03,S005,P0001,3,145
2022-01-03,S005,P0002,59,111
2022-01-03,S005,P0003,15,101
2022-01-03,S005,P0004,351,132
2022-01-03,S005,P0005,66,57
2022-01-03,S005,P0006,62,58
2022-01-03,S005,P0007,77,44
2022-01-03,S005,P0008,177,154
2022-01-03,S005,P0009,349,98
2022-01-03,S005,P0010,74,25
2022-01-03,S005,P0011,40,151
2022-01-03,S005,P0012,72,27
2022-01-03,S005,P0013,190,126
2022-01-03,S005,P0014,263,189
2022-01-03,S005,P0015,126,175
2022-01-03,S005,P0016,17,171
2022-01-03,S005,P0017,19,116
2022-01-03,S005,P0018,36,53
2022-01-03,S005,P0019,207,177
2022-01-03,S005,P0020,91,193
2022-01-04,S001,P0001,58,193
2022-01-04,S001,P0002,91,142
2022-01-04,S001,P0003,70,191
2022-01-04,S001,P0004,0,123
2022-01-04,S001,P0005,32,192
2022-01-04,S001,P0006,8,84
2022-01-04,S001,P0007,341,39
2022-01-04,S001,P0008,347,183
2022-01-04,S001,P0009,15,187
2022-01-04,S001,P0010,85,122
2022-01-04,S001,P0011,30,33
2022-01-04,S001,P0012,136,129
2022-01-04,S001,P0013,31,174
2022-01-04,S001,P0014,7,76
2022-01-04,S001,P0015,377,118
2022-01-04,S001,P0016,28,32
2022-01-04,S001,P0017,348,36
2022-01-04,S001,P0018,258,66
2022-01-04,S001,P0019,41,191
2022-01-04,S001,P0020,49,139
2022-01-04,S002,P0001,83,25
2022-01-04,S002,P0002,60,172
2022-01-04,S002,P0003,448,113
2022-01-04,S002,P0004,11,21
2022-01-04,S002,P0005,390,175
2022-01-04,S002,P0006,81,139
2022-01-04,S002,P0007,121,118
2022-01-04,S002,P0008,44,152
2022-01-04,S002,P0009,88,31
2022-01-04,S002,P0010,142,172
2022-01-04,S002,P0011,48,69
2022-01-04,S002,P0012,61,87
2022-01-04,S002,P0013,140,180
2022-01-04,S002,P0014,390,188
2022-01-04,S002,P0015,91,197
2022-01-04,S002,P0016,32,107
2022-01-04,S002,P0017,60,92
2022-01-04,S002,P0018,206,63
2022-01-04,S002,P0019,108,36
2022-01-04,S002,P0020,349,42
2022-01-04,S003,P0001,271,147
2022-01-04,S003,P0002,202,130
2022-01-04,S003,P0003,34,91
2022-01-04,S003,P0004,165,43
2022-01-04,S003,P0005,2,161
2022-01-04,S003,P0006,308,113
2022-01-04,S003,P0007,76,157
2022-01-04,S003,P0008,91,129
2022-01-04,S003,P0009,113,84
2022-01-04,S003,P0010,274,102
2022-01-04,S003,P0011,116,52
2022-01-04,S003,P0012,5,37
2022-01-04,S003,P0013,115,116
2022-01-04,S003,P0014,79,158
2022-01-04,S003,P0015,223,53
2022-01-04,S003,P0016,258,175
2022-01-04,S003,P0017,236,26
2022-01-04,S003,P0018,309,165
2022-01-04,S003,P0019,32,160
2022-01-04,S003,P0020,44,122
2022-01-04,S004,P0001,145,149
2022-01-04,S004,P0002,150,162
2022-01-04,S004,P0003,40,104
2022-01-04,S004,P0004,245,199
2022-01-04,S004,P0005,241,160
2022-01-04,S004,P0006,138,175
2022-01-04,S004,P0007,152,102
2022-01-04,S004,P0008,12,85
2022-01-04,S004,P0009,158,35
2022-01-04,S004,P0010,265,187
2022-01-04,S004,P0011,240,182
2022-01-04,S004,P0012,153,155
2022-01-04,S004,P0013,68,48
2022-01-04,S004,P0014,302,42
2022-01-04,S004,P0015,70,42
2022-01-04,S004,P0016,92,73
2022-01-04,S004,P0017,275,160
2022-01-04,S004,P0018,3,34
2022-01-04,S004,P0019,307,143
2022-01-04,S004,P0020,62,27
2022-01-04,S005,P0001,195,175
2022-01-04,S005,P0002,33,75
2022-01-04,S005,P0003,263,107
2022-01-04,S005,P0004,83,94
2022-01-04,S005,P0005,78,25
2022-01-04,S005,P0006,118,75
2022-01-04,S005,P0007,147,130
2022-01-04,S005,P0008,216,124
2022-01-04,S005,P0009,27,43
2022-01-04,S005,P0010,172,189
2022-01-04,S005,P0011,78,192
2022-01-04,S005,P0012,196,82
2022-01-04,S005,P0013,75,153
2022-01-04,S005,P0014,11,179
2022-01-04,S005,P0015,144,197
2022-01-04,S005,P0016,200,180
2022-01-04,S005,P0017,256,107
2022-01-04,S005,P0018,118,168
2022-01-04,S005,P0019,244,24
2022-01-04,S005,P0020,54,139
2022-01-05,S001,P0001,147,37
2022-01-05,S001,P0002,220,165
2022-01-05,S001,P0003,97,198
2022-01-05,S001,P0004,29,73
2022-01-05,S001,P0005,192,76
2022-01-05,S001,P0006,158,139
2022-01-05,S001,P0007,8,143
2022-01-05,S001,P0008,42,23
2022-01-05,S001,P0009,5,185
2022-01-05,S001,P0010,93,169
2022-01-05,S001,P0011,44,191
2022-01-05,S001,P0012,78,91
2022-01-05,S001,P0013,57,24
2022-01-05,S001,P0014,161,171
2022-01-05,S001,P0015,172,139
2022-01-05,S001,P0016,132,196
2022-01-05,S001,P0017,46,156
2022-01-05,S001,P0018,17,200
2022-01-05,S001,P0019,38,167
2022-01-05,S001,P0020,11,26
2022-01-05,S002,P0001,161,70
2022-01-05,S002,P0002,101,81
2022-01-05,S002,P0003,263,91
2022-01-05,S002,P0004,32,142
2022-01-05,S002,P0005,209,36
2022-01-05,S002,P0006,24,176
2022-01-05,S002,P0007,20,176
2022-01-05,S002,P0008,148,111
2022-01-05,S002,P0009,100,183
2022-01-05,S002,P0010,129,55
2022-01-05,S002,P0011,257,41
2022-01-05,S002,P0012,262,29
2022-01-05,S002,P0013,200,20
2022-01-05,S002,P0014,56,187
2022-01-05,S002,P0015,24,28
2022-01-05,S002,P0016,105,174
2022-01-05,S002,P0017,294,100
2022-01-05,S002,P0018,142,63
2022-01-05,S002,P0019,55,27
2022-01-05,S002,P0020,24,110
2022-01-05,S003,P0001,53,55
2022-01-05,S003,P0002,189,177
2022-01-05,S003,P0003,146,68
2022-01-05,S003,P0004,186,77
2022-01-05,S003,P0005,77,149
2022-01-05,S003,P0006,225,135
2022-01-05,S003,P0007,66,69
2022-01-05,S003,P0008,35,83
2022-01-05,S003,P0009,1,64
2022-01-05,S003,P0010,95,73
2022-01-05,S003,P0011,255,85
2022-01-05,S003,P0012,132,174
2022-01-05,S003,P0013,234,168
2022-01-05,S003,P0014,42,86
2022-01-05,S003,P0015,25,81
2022-01-05,S003,P0016,30,195
2022-01-05,S003,P0017,28,175
2022-01-05,S003,P0018,38,74
2022-01-05,S003,P0019,149,35
2022-01-05,S003,P0020,192,70
2022-01-05,S004,P0001,198,103
2022-01-05,S004,P0002,83,49
2022-01-05,S004,P0003,97,172
2022-01-05,S004,P0004,173,97
2022-01-05,S004,P0005,69,199
2022-01-05,S004,P0006,256,169
2022-01-05,S004,P0007,246,124
2022-01-05,S004,P0008,332,184
2022-01-05,S004,P0009,325,97
2022-01-05,S004,P0010,53,75
2022-01-05,S004,P0011,17,30
2022-01-05,S004,P0012,223,172
2022-01-05,S004,P0013,95,86
2022-01-05,S004,P0014,225,37
2022-01-05,S004,P0015,216,118
2022-01-05,S004,P0016,324,27
2022-01-05,S004,P0017,75,56
2022-01-05,S004,P0018,158,176
2022-01-05,S004,P0019,55,35
2022-01-05,S004,P0020,131,42
2022-01-05,S005,P0001,74,115
2022-01-05,S005,P0002,59,94
2022-01-05,S005,P0003,150,171
2022-01-05,S005,P0004,135,192
2022-01-05,S005,P0005,79,117
2022-01-05,S005,P0006,62,125
2022-01-05,S005,P0007,130,77
2022-01-05,S005,P0008,74,116
2022-01-05,S005,P0009,16,23
2022-01-05,S005,P0010,342,195
2022-01-05,S005,P0011,48,155
2022-01-05,S005,P0012,224,147
2022-01-05,S005,P0013,64,54
2022-01-05,S005,P0014,322,36
2022-01-05,S005,P0015,264,75
2022-01-05,S005,P0016,343,98
2022-01-05,S005,P0017,15,107
2022-01-05,S005,P0018,90,109
2022-01-05,S005,P0019,143,196
2022-01-05,S005,P0020,36,107
2022-01-06,S001,P0001,37,155
2022-01-06,S001,P0002,230,114
2022-01-06,S001,P0003,58,187
2022-01-06,S001,P0004,305,123
2022-01-06,S001,P0005,120,195
2022-01-06,S001,P0006,2,110
2022-01-06,S001,P0007,35,49
2022-01-06,S001,P0008,171,84
2022-01-06,S001,P0009,195,134
2022-01-06,S001,P0010,97,143
2022-01-06,S001,P0011,177,49
2022-01-06,S001,P0012,1,88
2022-01-06,S001,P0013,181,189
2022-01-06,S001,P0014,100,86
2022-01-06,S001,P0015,1,37
2022-01-06,S001,P0016,429,164
2022-01-06,S001,P0017,26,23
2022-01-06,S001,P0018,176,90
2022-01-06,S001,P0019,15,126
2022-01-06,S001,P0020,2,60
2022-01-06,S002,P0001,81,82
2022-01-06,S002,P0002,23,47
2022-01-06,S002,P0003,65,197
2022-01-06,S002,P0004,62,118
2022-01-06,S002,P0005,76,64
2022-01-06,S002,P0006,136,89
2022-01-06,S002,P0007,255,80
2022-01-06,S002,P0008,244,123
2022-01-06,S002,P0009,173,91
2022-01-06,S002,P0010,330,165
2022-01-06,S002,P0011,95,155
2022-01-06,S002,P0012,144,198
2022-01-06,S002,P0013,350,191
2022-01-06,S002,P0014,240,26
2022-01-06,S002,P0015,210,185
2022-01-06,S002,P0016,59,39
2022-01-06,S002,P0017,57,43
2022-01-06,S002,P0018,57,198
2022-01-06,S002,P0019,283,139
2022-01-06,S002,P0020,203,47
2022-01-06,S003,P0001,170,89
2022-01-06,S003,P0002,30,21
2022-01-06,S003,P0003,180,82
2022-01-06,S003,P0004,211,135
2022-01-06,S003,P0005,243,182
2022-01-06,S003,P0006,7,56
2022-01-06,S003,P0007,9,67
2022-01-06,S003,P0008,231,175
2022-01-06,S003,P0009,11,89
2022-01-06,S003,P0010,18,91
2022-01-06,S003,P0011,144,183
2022-01-06,S003,P0012,26,32
2022-01-06,S003,P0013,61,82
2022-01-06,S003,P0014,80,62
2022-01-06,S003,P0015,476,53
2022-01-06,S003,P0016,316,183
2022-01-06,S003,P0017,162,200
2022-01-06,S003,P0018,51,61
2022-01-06,S003,P0019,37,84
2022-01-06,S003,P0020,63,138
2022-01-06,S004,P0001,101,69
2022-01-06,S004,P0002,105,71
2022-01-06,S004,P0003,134,119
2022-01-06,S004,P0004,50,180
2022-01-06,S004,P0005,220,25
2022-01-06,S004,P0006,260,190
2022-01-06,S004,P0007,80,164
2022-01-06,S004,P0008,167,115
2022-01-06,S004,P0009,166,104
2022-01-06,S004,P0010,49,142
2022-01-06,S004,P0011,26,88
2022-01-06,S004,P0012,73,199
2022-01-06,S004,P0013,257,81
2022-01-06,S004,P0014,50,136
2022-01-06,S004,P0015,49,102
2022-01-06,S004,P0016,24,190
2022-01-06,S004,P0017,192,122
2022-01-06,S004,P0018,47,167
2022-01-06,S004,P0019,325,145
2022-01-06,S004,P0020,150,118
2022-01-06,S005,P0001,195,37
2022-01-06,S005,P0002,35,23
2022-01-06,S005,P0003,96,139
2022-01-06,S005,P0004,219,44
2022-01-06,S005,P0005,14,87
2022-01-06,S005,P0006,14,50
2022-01-06,S005,P0007,39,187
2022-01-06,S005,P0008,162,79
2022-01-06,S005,P0009,70,44
2022-01-06,S005,P0010,64,176
2022-01-06,S005,P0011,83,20
2022-01-06,S005,P0012,171,24
2022-01-06,S005,P0013,101,146
2022-01-06,S005,P0014,128,165
2022-01-06,S005,P0015,7,89
2022-01-06,S005,P0016,15,186
2022-01-06,S005,P0017,250,161
2022-01-06,S005,P0018,192,71
2022-01-06,S005,P0019,149,129
2022-01-06,S005,P0020,7,82
2022-01-07,S001,P0001,107,106
2022-01-07,S001,P0002,115,66
2022-01-07,S001,P0003,32,157
2022-01-07,S001,P0004,307,183
2022-01-07,S001,P0005,92,170
2022-01-07,S001,P0006,23,36
2022-01-07,S001,P0007,429,25
2022-01-07,S001,P0008,64,191
2022-01-07,S001,P0009,242,126
2022-01-07,S001,P0010,20,139
2022-01-07,S001,P0011,102,117
2022-01-07,S001,P0012,118,109
2022-01-07,S001,P0013,71,122
2022-01-07,S001,P0014,115,86
2022-01-07,S001,P0015,128,165
2022-01-07,S001,P0016,161,36
2022-01-07,S001,P0017,66,185
2022-01-07,S001,P0018,87,188
2022-01-07,S001,P0019,46,29
2022-01-07,S001,P0020,124,167
2022-01-07,S002,P0001,150,68
2022-01-07,S002,P0002,67,188
2022-01-07,S002,P0003,72,59
2022-01-07,S002,P0004,114,124
2022-01-07,S002,P0005,119,49
2022-01-07,S002,P0006,68,41
2022-01-07,S002,P0007,211,178
2022-01-07,S002,P0008,46,129
2022-01-07,S002,P0009,117,101
2022-01-07,S002,P0010,116,156
2022-01-07,S002,P0011,53,143
2022-01-07,S002,P0012,137,176
2022-01-07,S002,P0013,143,124
2022-01-07,S002,P0014,152,76
2022-01-07,S002,P0015,39,174
2022-01-07,S002,P0016,211,128
2022-01-07,S002,P0017,100,157
2022-01-07,S002,P0018,73,160
2022-01-07,S002,P0019,122,148
2022-01-07,S002,P0020,86,103
2022-01-07,S003,P0001,39,187
2022-01-07,S003,P0002,145,148
2022-01-07,S003,P0003,4,87
2022-01-07,S003,P0004,8,198
2022-01-07,S003,P0005,298,113
2022-01-07,S003,P0006,175,161
2022-01-07,S003,P0007,177,169
2022-01-07,S003,P0008,154,176
2022-01-07,S003,P0009,24,72
2022-01-07,S003,P0010,63,35
2022-01-07,S003,P0011,29,37
2022-01-07,S003,P0012,52,197
2022-01-07,S003,P0013,59,158
2022-01-07,S003,P0014,48,72
2022-01-07,S003,P0015,71,71
2022-01-07,S003,P0016,86,189
2022-01-07,S003,P0017,12,109
2022-01-07,S003,P0018,336,35
2022-01-07,S003,P0019,35,154
2022-01-07,S003,P0020,20,98
2022-01-07,S004,P0001,13,190
2022-01-07,S004,P0002,46,172
2022-01-07,S004,P0003,49,166
2022-01-07,S004,P0004,92,157
2022-01-07,S004,P0005,108,107
2022-01-07,S004,P0006,343,61
2022-01-07,S004,P0007,83,194
2022-01-07,S004,P0008,72,186
2022-01-07,S004,P0009,186,97
2022-01-07,S004,P0010,50,87
2022-01-07,S004,P0011,80,106
2022-01-07,S004,P0012,36,133
2022-01-07,S004,P0013,188,58
2022-01-07,S004,P0014,227,75
2022-01-07,S004,P0015,174,58
2022-01-07,S004,P0016,139,173
2022-01-07,S004,P0017,4,84
2022-01-07,S004,P0018,70,132
2022-01-07,S004,P0019,12,112
2022-01-07,S004,P0020,162,123
2022-01-07,S005,P0001,97,77
2022-01-07,S005,P0002,297,38
2022-01-07,S005,P0003,197,26
2022-01-07,S005,P0004,32,149
2022-01-07,S005,P0005,131,130
2022-01-07,S005,P0006,284,135
2022-01-07,S005,P0007,246,68
2022-01-07,S005,P0008,139,125
2022-01-07,S005,P0009,182,122
2022-01-07,S005,P0010,164,151
2022-01-07,S005,P0011,438,31
2022-01-07,S005,P0012,59,35
2022-01-07,S005,P0013,88,177
2022-01-07,S005,P0014,211,134
2022-01-07,S005,P0015,161,141
2022-01-07,S005,P0016,111,168
2022-01-07,S005,P0017,186,65
2022-01-07,S005,P0018,30,41
2022-01-07,S005,P0019,33,155
2022-01-07,S005,P0020,126,28
2022-01-08,S001,P0001,2,119
2022-01-08,S001,P0002,33,34
2022-01-08,S001,P0003,123,90
2022-01-08,S001,P0004,79,141
2022-01-08,S001,P0005,217,177
2022-01-08,S001,P0006,14,26
2022-01-08,S001,P0007,172,145
2022-01-08,S001,P0008,58,97
2022-01-08,S001,P0009,162,64
2022-01-08,S001,P0010,186,45
2022-01-08,S001,P0011,106,117
2022-01-08,S001,P0012,229,71
2022-01-08,S001,P0013,261,66
2022-01-08,S001,P0014,142,158
2022-01-08,S001,P0015,255,66
2022-01-08,S001,P0016,42,99
2022-01-08,S001,P0017,248,106
2022-01-08,S001,P0018,58,71
2022-01-08,S001,P0019,127,69
2022-01-08,S001,P0020,151,126
2022-01-08,S002,P0001,341,198
2022-01-08,S002,P0002,134,71
2022-01-08,S002,P0003,64,132
2022-01-08,S002,P0004,298,93
2022-01-08,S002,P0005,107,130
2022-01-08,S002,P0006,233,149
2022-01-08,S002,P0007,18,172
2022-01-08,S002,P0008,278,65
2022-01-08,S002,P0009,241,113
2022-01-08,S002,P0010,23,71
2022-01-08,S002,P0011,7,79
2022-01-08,S002,P0012,13,186
2022-01-08,S002,P0013,91,70
2022-01-08,S002,P0014,25,85
2022-01-08,S002,P0015,117,147
2022-01-08,S002,P0016,34,24
2022-01-08,S002,P0017,153,56
2022-01-08,S002,P0018,351,36
2022-01-08,S002,P0019,285,72
2022-01-08,S002,P0020,188,67
2022-01-08,S003,P0001,264,56
2022-01-08,S003,P0002,50,31
2022-01-08,S003,P0003,12,44
2022-01-08,S003,P0004,250,26
2022-01-08,S003,P0005,271,67
2022-01-08,S003,P0006,189,163
2022-01-08,S003,P0007,324,30
2022-01-08,S003,P0008,454,56
2022-01-08,S003,P0009,104,21
2022-01-08,S003,P0010,6,63
2022-01-08,S003,P0011,480,68
2022-01-08,S003,P0012,3,46
2022-01-08,S003,P0013,11,29
2022-01-08,S003,P0014,60,28
2022-01-08,S003,P0015,47,145
2022-01-08,S003,P0016,36,69
2022-01-08,S003,P0017,85,46
2022-01-08,S003,P0018,61,159
2022-01-08,S003,P0019,66,132
2022-01-08,S003,P0020,119,47
2022-01-08,S004,P0001,23,131
2022-01-08,S004,P0002,25,48
2022-01-08,S004,P0003,214,21
2022-01-08,S004,P0004,450,191
2022-01-08,S004,P0005,148,90
2022-01-08,S004,P0006,69,58
2022-01-08,S004,P0007,97,105
2022-01-08,S004,P0008,161,51
2022-01-08,S004,P0009,97,177
2022-01-08,S004,P0010,170,187
2022-01-08,S004,P0011,132,48
2022-01-08,S004,P0012,145,194
2022-01-08,S004,P0013,331,162
2022-01-08,S004,P0014,256,168
